item_id,kud_column,knowledge_type,assessment_route,content,source_block_id,source_excerpt,classification_stability,underspecification_flag,rationale
blk_0002_item_01,know,Type 1,rubric_with_clear_criteria,Young people understand the correct terms for different parts of the body,blk_0002,"L3-6: activity involved. Similarly, good safeguarding practice requires young people to understand the correct terms for different parts of the body and to be able to confidently use these terms. This can be provided as part of health education in primary, without describing any detail of sexual activity.",stable,null,Propositional knowledge - factual content about anatomical terminology that must be held
blk_0006_item_01,know,Type 1,rubric_with_clear_criteria,skills and knowledge that form the building blocks of all positive relationships,blk_0006,"L10-12: knowledge that form the building blocks of all positive relationships, supporting children from the start of their education to grow into kind, caring adults who have respect for others and know how to keep themselves and others safe.",stable,moderate,Propositional knowledge about what constitutes foundational relationship skills - factual content to be understood
blk_0010_item_01,know,Type 1,rubric_with_clear_criteria,"Many forms of families provide a nurturing environment for children, and can include single parent families, same-sex parents, families headed by grandparents, young carers, kinship carers, adoptive parents and foster parents/carers.",blk_0010,"L19-23: many forms provide a nurturing environment for children, and can include single parent families, same-sex parents, families headed by grandparents, young carers, kinship carers, adoptive parents and foster parents/carers. Teaching should illustrate a wide range of family structures in a positive way, and care should be taken to ensure that children are not stigmatised based on their home circumstances.",classification_unstable,null,Propositional knowledge about family structures - factual content about what constitutes nurturing family environments
blk_0015_item_01,know,Type 1,rubric_with_clear_criteria,Being a victim of abuse is never the fault of the child,blk_0015,"L34-35: children how to stay safe, including online, teachers should be clear that being a victim of abuse is never the fault of the child.",stable,null,Propositional knowledge - a factual claim about responsibility and blame that learners must understand
blk_0022_item_01,know,Type 1,rubric_with_clear_criteria,"Families can provide love, security and stability for children growing up safe and happy",blk_0022,"L51: can provide love, security and stability.",stable,null,Propositional knowledge - factual claim about how families function that learners must understand
blk_0026_item_01,know,Type 1,rubric_with_clear_criteria,"that the families of other children, either in school or in the wider world, sometimes look different from their family, but that other children's families are also characterised by love and care",blk_0026,"L56-57: look different from their family, but that they should respect those differences and know that other children’s families are also characterised by love and care.",stable,null,propositional knowledge about family diversity and commonalities - factual content to be understood
blk_0030_item_01,know,Type 1,rubric_with_clear_criteria,That marriage and civil partnerships represent a formal and legally recognised commitment of two people to each other which is intended to be lifelong.,blk_0030,L61: commitment of two people to each other which is intended to be lifelong.,stable,null,Propositional knowledge about the legal and social nature of marriage and civil partnerships - factual content about how these institutions are defined and function
blk_0039_item_01,know,Type 1,rubric_with_clear_criteria,"That most people feel lonely sometimes, and that there is no shame in feeling lonely or talking about it.",blk_0039,"L72-73: people feel lonely sometimes, and that there is no shame in feeling lonely or talking about it.",stable,null,Propositional knowledge about emotional experiences and social norms - factual content about loneliness being common and acceptable to discuss
blk_0041_item_01,know,Type 1,rubric_with_clear_criteria,"The characteristics of friendships that lead to happiness and security, including mutual respect, honesty, trustworthiness, loyalty, kindness, generosity, trust, sharing interests and experiences, and support with problems and difficulties",blk_0041,"L75-76: mutual respect, honesty, trustworthiness, loyalty, kindness, generosity, trust, sharing interests and experiences, and support with problems and difficulties.",stable,null,Propositional knowledge about friendship characteristics - factual content about what constitutes healthy friendships
blk_0065_item_01,know,Type 1,rubric_with_clear_criteria,"responsibilities of bystanders (primarily reporting bullying to an adult), and how to get help",blk_0065,"L109-110: responsibilities of bystanders (primarily reporting bullying to an adult), and how to get help.",stable,null,propositional knowledge about specific responsibilities and procedures that can be factually assessed
blk_0067_item_01,know,Type 1,rubric_with_clear_criteria,"What a stereotype is, how stereotypes can be unfair, negative, destructive or lead to bullying",blk_0067,L112: bullying and how to challenge a stereotype.,stable,null,Propositional knowledge about the definition and effects of stereotypes - factual content that must be understood
blk_0075_item_01,know,Type 1,rubric_with_clear_criteria,"awareness of the risks associated with people they have never met, including that people sometimes behave differently online, including pretending to be someone else, or pretending to be a child, and that this can lead to dangerous situations",blk_0075,"L125-129: including awareness of the risks associated with people they have never met. For example, that people sometimes behave differently online, including pretending to be someone else, or pretending to be a child, and that this can lead to dangerous situations. How to recognise harmful content or harmful contact, and how to report this.",classification_unstable,null,propositional knowledge about online risks and deceptive behaviors - factual content about how the digital world works
blk_0077_item_01,know,Type 1,rubric_with_clear_criteria,"That there is a minimum age for joining social media sites (currently 13), which protects children from inappropriate content or unsafe contact with older social media users, who may be strangers, including other children and adults.",blk_0077,"L131-132: protects children from inappropriate content or unsafe contact with older social media users, who may be strangers, including other children and adults.",classification_unstable,null,Propositional knowledge about how age restrictions function as protective measures - factual content about the purpose and mechanism of social media age limits
blk_0079_item_01,know,Type 1,rubric_with_clear_criteria,Understanding the importance of privacy and location settings to protect information online,blk_0079,L134-135: themselves online. Understanding the importance of privacy and location settings to protect information online.,classification_unstable,null,Propositional knowledge about how privacy settings function to protect information - factual/conceptual content
blk_0081_item_01,know,Type 1,rubric_with_clear_criteria,that once a picture or words has been circulated there is no way of deleting it everywhere and no control over where it ends up,blk_0081,L137-138: that once a picture or words has been circulated there is no way of deleting it everywhere and no control over where it ends up.,stable,null,propositional knowledge about how digital content behaves once shared - factual claim about the world that learners must understand
