theme_code,theme_label,band,REAL_content,REAL_band_confidence,RSHE_content,RSHE_band_confidence,CfW_content,CfW_band_confidence,CASEL_content,CASEL_band_confidence,CS_content,CS_band_confidence,gap_count,notes
T01,Emotional Awareness Vocabulary & Self-Regulation,A,"I can notice what my body is telling me, name a feeling, and use one calming strategy to return to learning. (LT 1.1)",high,"skills for managing difficult feelings in their friendships, like disappointment or anger (EoP)",medium,"I am beginning to recognise the connection between the physical and emotional changes that can occur in different contexts (PS1)",medium,"Identify emotions in a book, picture, or on someone's face / Begin to recognize their own emotions before reacting (PK/K-1)",high,"Uses at least twelve different words for emotion / Uses regular breathing as a calming strategy (Y2)",medium,0,All five frameworks cover this theme at Band A
T01,Emotional Awareness Vocabulary & Self-Regulation,B,"I can identify a common personal trigger and choose a practised strategy to manage my response. (LT 1.1)",high,"reflect on how to behave with kindness in more complex or challenging relationships (EoP)",medium,"I can understand how and why my thoughts, feelings and actions change in response to different experiences (PS2)",medium,"I can identify emotions and explain how they influence my thoughts and behaviors (G2-3)",high,"Can talk about what happens in their bodies when they feel happy, angry and scared (Y2)",medium,0,
T01,Emotional Awareness Vocabulary & Self-Regulation,C,"I can apply a chosen strategy in a challenging situation and reflect on how well it worked. (LT 1.1)",high,"skills and knowledge that form the building blocks of all positive relationships (EoP)",medium,"I can self-regulate my emotions in a healthy way using strategies that I have developed (PS3)",medium,"I can evaluate my emotional responses and demonstrate appropriate ways to advocate for my needs (G4-5)",high,"†Emotional Vocabulary and Thinking Strategies (Y6)",medium,0,
T01,Emotional Awareness Vocabulary & Self-Regulation,D,"I can apply my strategies under stress across different settings, explain what worked and what didn't, and state one change for next time. (LT 1.1)",high,"I can recognise and manage emotions appropriately (EoS)",medium,"I can identify different strategies to self-regulate my emotions in response to a range of experiences (PS4)",medium,"I can apply coping strategies to regulate my emotions and manage stressful situations (G6-8)",high,"†Emotional Regulation Strategies (Y9)",medium,0,
T01,Emotional Awareness Vocabulary & Self-Regulation,E,"I can independently sustain my regulation strategies through sustained high-pressure periods, adapt them proactively rather than reactively, and reflect on how my regulation affects others around me. (LT 1.1) [draft]",high,"I can identify and manage a range of emotions and explain their effect on thinking and behaviour (EoS)",medium,"I can apply strategies to self-regulate emotions in a healthy way when situations call for it (PS5)",medium,"I can recognize complex emotions and explain how events or thoughts prompt emotional responses (G9-10)",high,"†Emotional Reflection and Analysis (Y9)",medium,0,
T01,Emotional Awareness Vocabulary & Self-Regulation,F,"I can articulate my personal regulation system — the strategies I rely on, the conditions that disrupt it, and the adaptations I have built over time — and support others in developing their own. (LT 1.1) [draft]",high,—,—,"I can self-regulate emotions in a healthy way and connect with others as a sustained orientation (PS5)",medium,"†Analyzing Personal Emotional Patterns (G11-12)",high,"†Resilience Strategy Knowledge (Y12)",medium,1,RSHE has no Band F content (no post-16 phase in source)
T02,Empathy & Perspective-Taking,A,"I can name a feeling another person might be having and offer a kind word or a specific helpful action. (LT 1.2)",high,"grow into kind, caring adults who have respect for others (EoP)",medium,"I have an awareness of the feelings of others. I am aware of when others are kind to me and when I am kind to others. (PS1)",medium,"I can describe individual characteristics and recognize how others may be feeling (PK/K-1)",high,"†Predicting Others' Emotional Responses (Y2)",medium,0,
T02,Empathy & Perspective-Taking,B,"I can describe a situation from another person's perspective and ask if they would like help before acting. (LT 1.2)",high,"skills for developing caring, kind friendships / reflect on how to behave with kindness (EoP)",medium,"I can describe the world as someone else might see it and identify what is happening to affect their well-being (PS2)",medium,"I can identify emotions in others and explain how people can be similar or different (G2-3)",high,"†Recognizing Similarities and Differences (Y2)",medium,0,
T02,Empathy & Perspective-Taking,C,"I can notice what others say and do in a group, check in when I'm unsure, and adjust my actions to match their stated needs or boundaries. (LT 1.2)",high,—,—,"I can empathise with others (PS3)",medium,"I can explain different backgrounds, cultures, and perspectives while demonstrating respect and empathy (G4-5)",high,"†Inferring Emotions from Situations (Y6)",medium,1,RSHE has no empathy-specific content at secondary level
T02,Empathy & Perspective-Taking,D,"I can repair a relationship after conflict by listening, owning my part, and agreeing on a next step that works for both people. (LT 1.2)",high,"The role of consent, trust, mutual respect, honesty, kindness, loyalty in romantic relationships (EoS)",medium,"I can understand how other people may interpret things differently depending on their experiences and backgrounds (PS4)",medium,"I can identify different perspectives, ask respectful questions about others' cultures and experiences (G6-8)",high,"†Constructive Conflict Engagement (Y9)",medium,0,
