## source_type,ontario_grade
## band_count,1
## age_range_hint,ages 12-13 (Ontario Ministry of Education K-12 schedule)
## detection_confidence,high
## progression_philosophy,Grade-level expectations published at grade-level granularity. Each grade's curriculum is designed to be met by learners in that grade by year's end. Ontario does not define sub-grade progression bands within curriculum documents; within-year sequencing is a school and teacher decision. Single-band output reflects the source's own granularity.
## band_detail | Grade 7,age_range=ages 12-13,grade_year=Grade 7,"Grade 7 learners are in the first year of the Intermediate level (Grades 7-8). In History, they examine social, political, economic, and legal changes in Canada between 1713 and 1850, including New France and British North America. They apply disciplinary historical-thinking concepts (Continuity and Change, Cause and Consequence, Historical Perspective, Historical Significance) and inquiry skills to analyse primary and secondary sources."

competency_cluster,lt_id,lt_name,lt_definition,knowledge_type,assessment_route,lt_stability,kud_items_covered,prerequisites,grade_7,band_statements_stability,band_gate_status
cluster_01: Historical Inquiry and Primary Source Analysis,cluster_01_lt_01,Analysing Primary Sources for Historical Evidence,I can gather and critically analyse evidence from primary sources to form reasoned conclusions about historical issues and events.,Type 2,reasoning_quality_rubric,stable,blk_0004_item_01,,I can analyse primary sources to identify evidence and explain how it supports conclusions about historical events.,stable,PASS
cluster_01: Historical Inquiry and Primary Source Analysis,cluster_01_lt_02,Interpreting and Creating Historical Maps,I can analyse and create maps in print or digital formats to represent and interpret historical information and spatial relationships.,Type 1,rubric_with_clear_criteria,stable,blk_0039_item_01; blk_0039_item_02; blk_0039_item_03,,I can analyse historical maps to identify spatial relationships and interpret how geography influenced past events and societies.,stable,PASS
"cluster_04: Causes, Consequences, and Significance of Key Events (1713–1800)",cluster_04_lt_01,Analysing Causes of Key Events,"I can identify immediate triggers and underlying conditions contributing to key events between 1713 and 1800, distinguishing multiple causes rather than single-cause explanations.",Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0102_item_01; blk_0104_item_02; blk_0116_item_02,,"I can identify multiple causes of key events between 1713 and 1800, distinguishing immediate triggers from underlying conditions.",band_statements_unstable,PASS
"cluster_04: Causes, Consequences, and Significance of Key Events (1713–1800)",cluster_04_lt_02,Evaluating Consequences and Significance,"I can explain how key events, treaties, and political changes affected different individuals, groups, and communities, recognising that significance varies across perspectives and communities.",Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0102_item_02; blk_0106_item_02; blk_0111_item_01; blk_0113_item_03; blk_0115_item_02; blk_0119_item_02; blk_0120_item_02; blk_0121_item_02; blk_0122_item_01,,I can explain how key events and treaties from 1713–1800 affected different groups and identify why significance varies across perspectives.,stable,PASS
"cluster_04: Causes, Consequences, and Significance of Key Events (1713–1800)",cluster_04_lt_03,Recalling Key Events and Treaties,"I can identify key events, treaties, political changes, and social developments in Canada between 1713 and 1800, including their parties, dates, and main provisions.",Type 1,rubric_with_clear_criteria,lt_set_unstable,blk_0104_item_01; blk_0106_item_01; blk_0107_item_01; blk_0110_item_01; blk_0112_item_01; blk_0112_item_02; blk_0113_item_01; blk_0113_item_02; blk_0114_item_01; blk_0115_item_01; blk_0116_item_01; blk_0117_item_01; blk_0118_item_01; blk_0119_item_01; blk_0120_item_01; blk_0121_item_01,,I can identify key events and treaties in Canada between 1713 and 1800 and describe their main features.,stable,PASS
"cluster_05: Daily Life, Interactions, and Key Figures (1713–1800)",cluster_05_lt_01,Describing Daily Life and Community Practices,"I can describe significant aspects of daily life, including housing, work, family roles, and spiritual practices, in Indigenous, Métis, Inuit, and settler communities in Canada between 1713 and 1800.",Type 1,rubric_with_clear_criteria,stable,blk_0124_item_01; blk_0126_item_01; blk_0127_item_01; blk_0130_item_01; blk_0132_item_01; blk_0141_item_01; blk_0143_item_01,,"I can describe daily life and community practices in Indigenous, Métis, Inuit, and settler communities in Canada between 1713 and 1800.",stable,PASS
"cluster_05: Daily Life, Interactions, and Key Figures (1713–1800)",cluster_05_lt_02,Analysing Interactions and Historical Significance,"I can analyse interactions between individuals, groups, and institutions, and explain how key figures and communities shaped Canadian heritage during this period.",Type 2,reasoning_quality_rubric,stable,blk_0124_item_02; blk_0125_item_01; blk_0131_item_01; blk_0132_item_02; blk_0135_item_01; blk_0135_item_02; blk_0137_item_01; blk_0143_item_02; blk_0144_item_01; blk_0144_item_02; blk_0146_item_01,Describing Daily Life and Community Practices,I can explain how interactions between individuals and groups influenced Canadian communities during 1713–1800.,stable,PASS
cluster_06: Continuity and Change in Communities (1800–1850),cluster_06_lt_01,Identifying Historical Contexts and Values,"I can identify and describe social, political, and economic values and conditions for diverse communities in Canada between 1800 and 1850.",Type 1,rubric_with_clear_criteria,stable,blk_0153_item_02; blk_0160_item_01; blk_0163_item_01; blk_0164_item_01; blk_0164_item_02; blk_0165_item_01; blk_0170_item_01; blk_0170_item_02,,"I can identify and describe social, political, and economic values in diverse Canadian communities between 1800 and 1850.",stable,PASS
cluster_06: Continuity and Change in Communities (1800–1850),cluster_06_lt_02,Analysing Values and Displacement Across Communities,"I can analyse how social and political values shaped the experiences, responses, and displacement of diverse communities including First Nations, Métis, Inuit, African Canadians, and Irish immigrants.",Type 2,reasoning_quality_rubric,stable,blk_0153_item_01; blk_0155_item_01; blk_0158_item_01; blk_0159_item_01; blk_0161_item_01; blk_0166_item_01; blk_0167_item_01; blk_0168_item_01; blk_0169_item_01; blk_0170_item_03; blk_0171_item_01; blk_0172_item_01,Identifying Historical Contexts and Values,I can explain how different values and beliefs affected how diverse communities experienced change between 1800 and 1850.,stable,PASS
cluster_06: Continuity and Change in Communities (1800–1850),cluster_06_lt_03,Understanding Historical Actors Within Context,"The student sustains a default orientation to understand historical actors' decisions, values, and adaptations within their own context's constraints, knowledge, and beliefs, resisting presentism.",Type 3,multi_informant_observation,stable,blk_0155_item_02; blk_0168_item_02,Identifying Historical Contexts and Values; Analysing Values and Displacement Across Communities,,,N/A (Type 3)
