competency_cluster,lt_id,lt_name,lt_definition,knowledge_type,assessment_route,lt_stability,kud_items_covered,prerequisites,progression_step_1,progression_step_2,progression_step_3,progression_step_4,progression_step_5,band_statements_stability,band_gate_status
cluster_01: Physical Health and Well-being,cluster_01_lt_01,Understanding Health and Well-being Factors,"I can explain how physical activity, nutrition, sleep, and other factors support physical health and well-being outcomes.",Type 1,rubric_with_clear_criteria,stable,blk_0007_item_01; blk_0010_item_01,,,,,,,missing,missing
cluster_01: Physical Health and Well-being,cluster_01_lt_02,Demonstrating Physical Movement Competence,"I can perform movement, exercise, and activity skills appropriate to my age and context with increasing competence.",Type 1,rubric_with_clear_criteria,stable,blk_0010_item_02,,I can perform basic movement skills with adult support and guidance.,I can perform fundamental movement skills with increasing independence and control.,I can perform movement skills with precision and adapt them to different contexts.,I can perform complex movement sequences and explain how to improve my technique.,"I can perform and evaluate movement skills across varied contexts, justifying choices made.",band_statements_unstable,PASS
cluster_01: Physical Health and Well-being,cluster_01_lt_03,Sustaining Motivation for Active Healthy Living,The student sustains confidence and motivation to engage in healthy and active behaviours across different contexts and over time.,Type 3,multi_informant_observation,stable,blk_0010_item_03,Understanding Health and Well-being Factors; Demonstrating Physical Movement Competence,,,,,,,N/A (Type 3)
cluster_02: Self-Care and Respect for Self and Others,cluster_02_lt_01,Caring for Self and Others,The student enacts care for and respect toward themselves and others as a sustained default orientation across contexts.,Type 3,multi_informant_observation,stable,blk_0009_item_01,,,,,,,,N/A (Type 3)
cluster_02: Self-Care and Respect for Self and Others,cluster_02_lt_02,Understanding Self-Care Impact,"I can explain how positive, informed behaviours that care for and respect self and others support well-being and sense of self-worth.",Type 1,rubric_with_clear_criteria,stable,blk_0009_item_02,,,,,,,missing,missing
cluster_03: Mental Health and Emotional Well-being,cluster_03_lt_01,Connecting Experiences to Emotional Well-being,I can explain how experiences and emotional responses influence mental health and well-being.,Type 1,rubric_with_clear_criteria,stable,blk_0011_item_01; blk_0012_item_01,,I can identify how my feelings change in response to different experiences.,I can describe connections between my experiences and how I feel emotionally.,I can explain how specific experiences affect my emotional responses and well-being.,I can analyse how my emotional responses to experiences influence my overall mental health.,I can evaluate and justify how patterns of experiences shape my emotional well-being across different contexts.,band_statements_unstable,PASS
cluster_03: Mental Health and Emotional Well-being,cluster_03_lt_02,Recognising Emotions as Fluid,"The student recognises that emotions and feelings are dynamic and changeable, sustaining this understanding across varied contexts and time.",Type 3,multi_informant_observation,stable,blk_0012_item_02,Connecting Experiences to Emotional Well-being,,,,,,,N/A (Type 3)
cluster_04: Communication About Mental Health,cluster_04_lt_01,Communicating Feelings Appropriately,I can communicate my feelings in ways that are appropriate to the context and audience.,Type 1,rubric_with_clear_criteria,stable,blk_0014_item_01,,,,,,,missing,missing
cluster_04: Communication About Mental Health,cluster_04_lt_02,Normalising Mental Health Talk,The student sustains a default orientation toward normalising talk about mental health and emotional well-being across peer interactions and community contexts.,Type 3,multi_informant_observation,stable,blk_0014_item_02,Communicating Feelings Appropriately,,,,,,,N/A (Type 3)
cluster_05: Informed Decision-Making,cluster_05_lt_01,Analysing Decision Impacts and Influencing Factors,"I can analyse how decisions and actions impact myself, others, and society, and identify the factors that influence decision-making.",Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0015_item_01; blk_0016_item_01; blk_0016_item_02; blk_0016_item_03,,I can identify simple consequences of my own decisions on myself and others around me.,I can describe how decisions affect different people and recognise some factors that influence my choices.,"I can explain how decisions impact myself, others, and society, and analyse key factors influencing decision-making.",I can evaluate complex decision impacts across multiple contexts and justify how various influencing factors shape outcomes.,I can analyse decision impacts and influencing factors in unfamiliar situations and apply insights to inform future choices.,stable,PASS
