## source_type,england_rshe_full
## band_count,2
## age_range_hint,"ages 5-16 (DfE RSHE statutory guidance July 2025; primary phase = Years 1-6, secondary phase = Years 7-11; two-phase structure, no within-phase KS subdivision)"
## detection_confidence,high
## progression_philosophy,"The DfE RSHE statutory guidance (July 2025) uses a two-phase architecture: 'content to be covered by the end of primary' and 'content to be covered by the end of secondary'. Neither phase is subdivided into individual Key Stages within the curriculum content sections. Two-band output reflects the guidance's own structure. Per DfE statutory RSHE guidance (England), Children and Social Work Act 2017."
## band_detail | End of Primary,age_range=ages 5-11,grade_year=Years 1-6 (KS1 and KS2),"Primary pupils develop the foundational skills and knowledge needed for positive relationships, personal safety, and health. Outcomes are framed as terminal goals for all primary pupils; year-group and KS1/KS2 sequencing is a school decision. Primary relationships education does not include RSE content; sex education in primary is non-statutory."
## band_detail | End of Secondary,age_range=ages 11-16,grade_year=Years 7-11 (KS3 and KS4),"Secondary pupils develop the knowledge, values and personal qualities needed to navigate relationships, sex and health across the full secondary phase. Outcomes are framed as terminal goals for all secondary pupils; KS3/KS4 and year-group sequencing is a school decision."

competency_cluster,lt_id,lt_name,lt_definition,knowledge_type,assessment_route,lt_stability,kud_items_covered,prerequisites,end_of_primary,end_of_secondary,band_statements_stability,band_gate_status
cluster_01: Body Awareness and Personal Boundaries,cluster_01_lt_01,Identifying Body Parts and Privacy,I can identify and name body parts including private areas and explain which parts are private.,Type 1,rubric_with_clear_criteria,stable,blk_0002_item_01; blk_0002_item_02; blk_0346_item_01; blk_0346_item_02,,I can identify and name body parts including private areas and explain which parts are private.,I can accurately identify body parts including private areas and explain privacy boundaries with detailed reasoning across different contexts.,band_statements_unstable,PASS
cluster_01: Body Awareness and Personal Boundaries,cluster_01_lt_02,Expressing Personal Boundaries,I can communicate my boundaries about physical contact and privacy needs.,Type 2,reasoning_quality_rubric,stable,blk_0346_item_03,cluster_01_lt_01,I can communicate my boundaries about physical contact and privacy needs in familiar situations.,I can communicate my boundaries about physical contact and privacy needs clearly and assertively across various contexts.,stable,PASS
cluster_02: Foundational Relationship Skills and Safety,cluster_02_lt_01,Building Safe and Positive Relationships,I can apply foundational relationship skills and safety knowledge to build and maintain positive connections with others.,Type 2,reasoning_quality_rubric,stable,blk_0006_item_01; blk_0006_item_02,,I can apply basic relationship skills to build positive connections with familiar people in structured settings.,I can independently apply comprehensive relationship skills and safety knowledge to build and maintain positive connections across diverse social contexts.,stable,PASS
cluster_02: Foundational Relationship Skills and Safety,cluster_02_lt_02,Managing Complex Relationship Challenges,I can manage difficult feelings and reflect on kind behaviors when navigating challenging relationship situations.,Type 2,reasoning_quality_rubric,stable,blk_0008_item_01; blk_0008_item_02,,I can identify my difficult feelings and choose kind behaviors when facing simple relationship challenges.,I can analyze complex emotions and evaluate the effectiveness of kind behaviors across varied challenging relationship situations.,stable,PASS
cluster_02: Foundational Relationship Skills and Safety,cluster_02_lt_03,Caring and Respectful Disposition,"The student enacts kindness, care, and respect for others as a sustained orientation across relationships.",Type 3,multi_informant_observation,stable,blk_0006_item_03,,,,,N/A (Type 3)
cluster_03: Family Diversity and Acceptance,cluster_03_lt_01,Identifying Diverse Family Structures,I can identify and describe various family forms and their characteristics.,Type 1,rubric_with_clear_criteria,stable,blk_0010_item_01; blk_0022_item_01; blk_0024_item_01; blk_0026_item_01; blk_0028_item_01; blk_0030_item_01; blk_0126_item_01; blk_0128_item_01; blk_0131_item_01; blk_0133_item_01; blk_0133_item_02,,I can identify different types of families and describe their basic characteristics with support.,I can independently identify diverse family structures and describe their detailed characteristics across various contexts.,stable,PASS
cluster_03: Family Diversity and Acceptance,cluster_03_lt_02,Respectful Family Acceptance,The student holds respectful attitudes toward different family forms and avoids stigmatising others based on family circumstances.,Type 3,multi_informant_observation,stable,blk_0010_item_02; blk_0026_item_02,,,,,N/A (Type 3)
cluster_04: Abuse Recognition and Protection,cluster_04_lt_01,Recognising Abuse and Unsafe Situations,I can identify different forms of abuse and recognise when situations are unsafe or harmful.,Type 2,reasoning_quality_rubric,stable,blk_0012_item_02; blk_0012_item_03; blk_0032_item_01; blk_0114_item_02; blk_0205_item_01; blk_0207_item_01; blk_0210_item_01; blk_0212_item_01; blk_0216_item_01; blk_0222_item_01; blk_0224_item_01; blk_0225_item_01; blk_0227_item_01,,I can identify basic forms of abuse and recognise when situations feel unsafe with adult guidance.,I can analyse different forms of abuse and evaluate potential risks in complex situations independently.,band_statements_unstable,PASS
cluster_04: Abuse Recognition and Protection,cluster_04_lt_02,Understanding Rights and Support Systems,"I can explain personal rights, legal protections, and how to seek help when safety is compromised.",Type 1,rubric_with_clear_criteria,stable,blk_0012_item_01; blk_0015_item_01; blk_0114_item_01; blk_0114_item_03; blk_0220_item_01; blk_0220_item_02; blk_0229_item_01,,I can identify my basic rights and describe who to tell when I feel unsafe.,"I can explain personal rights, legal protections, and evaluate appropriate support systems when safety is compromised.",stable,PASS
cluster_04: Abuse Recognition and Protection,cluster_04_lt_03,Maintaining Personal Safety,The student practises protective behaviours and actively seeks help to keep themselves and others safe.,Type 3,multi_informant_observation,stable,blk_0012_item_04,,,,,N/A (Type 3)
