competency_cluster,lt_id,lt_name,knowledge_type,stability,gate_passed,gate_failures,competent_framing_flag,competent_framing_judge_rationale,propositional_thin_flag,no_evidence,emerging,developing,competent,extending,prerequisite_edges,diagnostic
"cluster_04: Causes, Consequences, and Significance of Key Events (1713–1800)",cluster_04_lt_01,Analysing Causes of Key Events,Type 2,stable,PASS,,pass,"The descriptor declares the capability as independently demonstrated at the LT's level of demand (identifying triggers, distinguishing conditions, explaining interactions), with no hedging language or framing of incompleteness.",False,No attempt to identify or distinguish causes of events.,"With support, names one or two causes but conflates immediate triggers with underlying conditions.",Independently identifies multiple causes but does not clearly distinguish immediate triggers from underlying conditions.,"Independently identifies and distinguishes immediate triggers and underlying conditions for key events, explaining how multiple causes interact.",Analyses how causes interconnect across events and evaluates the relative weight of different causal factors.,"cluster_04_lt_03 [ontological_prerequisite/high] Learner must know what the key events are before analysing their causes.; cluster_01_lt_01 [pedagogical_sequencing/medium] Analysing primary sources for evidence supports gathering evidence to support causal claims, though cause analysis can proceed with secondary sources.",
"cluster_04: Causes, Consequences, and Significance of Key Events (1713–1800)",cluster_04_lt_02,Evaluating Consequences and Significance,Type 2,rubric_unstable,PASS,,pass,The descriptor declares the capability as demonstrated and can stand alone as meeting the Learning Target—it shows the learner explaining consequences and recognizing perspective-dependent significance without hedging language or framing it as incomplete.,False,No attempt to explain consequences or significance of events.,"With support, identifies one consequence but explanation lacks depth or perspective variation.",Independently explains consequences for some groups but does not consistently recognise perspective differences.,"Explains how events affected different individuals, groups, and communities, recognising that significance varies across perspectives.",Compares significance across multiple perspectives and explains why interpretations differ based on community values.,"cluster_04_lt_03 [ontological_prerequisite/high] Cannot evaluate consequences of events without first identifying what those key events and treaties were.; cluster_04_lt_01 [pedagogical_sequencing/medium] Understanding causes strengthens ability to trace and explain consequences, though consequences can be analysed independently.; cluster_01_lt_01 [pedagogical_sequencing/medium] Critical analysis of primary sources supports evidence-based explanation of consequences and perspective recognition.",
"cluster_05: Daily Life, Interactions, and Key Figures (1713–1800)",cluster_05_lt_01,Describing Daily Life and Community Practices,Type 1,stable,FAIL,level_progression,pass,"The descriptor directly states what the learner can do ('Describes significant aspects') without hedging language, incompleteness markers, or framing Competent as a waystation to Extending.",False,No attempt to describe daily life aspects.,Names one or two daily life aspects with heavy support; descriptions lack detail or accuracy.,Independently describes two or three daily life aspects; misses connections across communities or time period.,"Describes significant aspects of housing, work, family roles, and spiritual practices across Indigenous, Métis, Inuit, and settler communities between 1713 and 1800.",Compares daily life practices across communities and explains how geography or events shaped specific practices.,"cluster_01_lt_01 [pedagogical_sequencing/medium] Analysing primary sources provides evidence base for describing daily life, though descriptions can be formed from secondary sources alone.; cluster_04_lt_03 [pedagogical_sequencing/medium] Knowing key events and dates helps situate daily life practices in historical context, though daily life description does not require event knowledge.",
cluster_06: Continuity and Change in Communities (1800–1850),cluster_06_lt_01,Identifying Historical Contexts and Values,Type 1,stable,PASS,,pass,"The descriptor directly mirrors the Learning Target's language and declares the capability as demonstrated without hedging, incompleteness framing, or positioning it as a way-station to Extending.",True,No attempt to identify or describe historical contexts and values.,"With support, names some social, political, or economic conditions but descriptions lack accuracy or depth.",Independently identifies contexts and values for one or two communities but descriptions remain general or incomplete.,"Identifies and describes social, political, and economic values and conditions for diverse communities in Canada between 1800 and 1850.",Identifies and describes contexts and values while recognising how they differed across or within diverse communities.,cluster_05_lt_01 [pedagogical_sequencing/medium] Understanding daily life and practices in earlier communities (1713–1800) provides foundational context for identifying values and conditions in the 1800–1850 period.; cluster_01_lt_01 [pedagogical_sequencing/medium] Analysing primary sources develops the evidence-gathering skill needed to support identification and description of historical contexts and values.,
cluster_06: Continuity and Change in Communities (1800–1850),cluster_06_lt_02,Analysing Values and Displacement Across Communities,Type 2,rubric_unstable,PASS,,pass,"The descriptor declares the capability as demonstrated ('Analyses') at the LT's level of demand (multiple diverse communities, social/political values, experiences and displacement) without hedging language or framing it as incomplete.",False,No attempt to analyse values or displacement.,"With support, identifies some values or groups but analysis lacks depth or accuracy.",Independently identifies values and describes displacement but does not fully connect them across communities.,Analyses how specific social and political values shaped experiences and displacement of multiple diverse communities.,Compares how conflicting values produced different displacement outcomes across communities and time periods.,cluster_06_lt_01 [ontological_prerequisite/high] Cannot analyse how values shaped experiences without first identifying what those values were.; cluster_01_lt_01 [pedagogical_sequencing/high] Analysis of displacement and values depends on gathering and critically examining primary source evidence.; cluster_04_lt_02 [pedagogical_sequencing/medium] Understanding how events affected different groups and recognising perspective variation supports analysing differential displacement.,
"cluster_08: Causes, Consequences, and Significance of Key Events (1800–1850)",cluster_08_lt_01,Analysing Causes and Consequences of Historical Events,Type 2,stable,PASS,,pass,"The descriptor declares the capability as independently demonstrated at the LT's level of demand, using affirmative language ('Independently analyses') without hedging or framing Competent as incomplete.",False,No attempt to analyse causes or consequences of historical events.,"With support, identifies some causes or consequences but conflates immediate triggers with underlying conditions.",Independently identifies causes and consequences but struggles to distinguish immediate triggers from underlying conditions consistently.,"Independently analyses causes, consequences, and significance of key events, distinguishing immediate triggers from underlying conditions and recognising multiple perspectives.","Analyses causes and consequences across multiple interconnected events, synthesising perspectives to explain broader historical patterns and significance.","cluster_01_lt_01 [ontological_prerequisite/high] Analysing causes and consequences requires gathering and critically evaluating evidence from primary sources to support reasoned historical conclusions.; cluster_04_lt_01 [ontological_prerequisite/high] The capability to distinguish immediate triggers from underlying conditions is foundational; this LT extends that skill to the 1800–1850 period.; cluster_04_lt_02 [ontological_prerequisite/high] Evaluating consequences and recognising significance across perspectives is a core component of analysing causes and consequences in this LT.; cluster_08_lt_03 [pedagogical_sequencing/high] Identifying key events and changes must precede analysing their causes, consequences, and significance.",
"cluster_08: Causes, Consequences, and Significance of Key Events (1800–1850)",cluster_08_lt_03,"Identifying Key Events, Treaties, and Changes",Type 1,rubric_unstable,PASS,,pass,"The descriptor declares independent identification of all required elements without hedging language, qualification, or framing as incomplete.",True,"No attempt to identify events, treaties, or changes.",Names some events or treaties with heavy support; details are incomplete or inaccurate.,Independently identifies several key events and treaties but misses some significant changes or lacks context.,"Independently identifies key events, treaties, political and legal changes, and social and economic transformations between 1800 and 1850.",Identifies key events and changes while connecting them to underlying conditions or multiple perspectives.,cluster_04_lt_03 [pedagogical_sequencing/high] Recalling events and treaties from 1713–1800 establishes foundational knowledge and skills for identifying events in the subsequent 1800–1850 period.; cluster_06_lt_01 [pedagogical_sequencing/medium] Understanding historical contexts and values in 1800–1850 helps learners recognise the significance and nature of events and changes in that period.,
---,,,,,,,,,,,,,,,,
cluster_01: Historical Inquiry and Primary Source Analysis,cluster_01_lt_01,Analysing Primary Sources for Historical Evidence,Type 2,HALTED,,,,,,,,,,,,"rubric_unreliable: no structural signature reached 2/3 agreement; signatures=[(('no_evidence', 'within_limit', 'analyse'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'none'), ('competent', 'within_limit', 'analyse'), ('extending', 'within_limit', 'evaluate'), ('competent_scope', 'unscoped')), (('no_evidence', 'within_limit', 'analyse'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'evaluate'), ('competent', 'within_limit', 'analyse'), ('extending', 'within_limit', 'evaluate'), ('competent_scope', 'unscoped'))]"
cluster_01: Historical Inquiry and Primary Source Analysis,cluster_01_lt_02,Interpreting and Creating Historical Maps,Type 1,HALTED,,,,,,,,,,,,rubric_unreliable: only 0/3 runs produced parseable output
