competency_cluster,lt_id,lt_name,knowledge_type,stability,gate_passed,gate_failures,competent_framing_flag,competent_framing_judge_rationale,propositional_thin_flag,no_evidence,emerging,developing,competent,extending,prerequisite_edges,diagnostic
cluster_01: Body Awareness and Personal Boundaries,cluster_01_lt_01,Identifying Body Parts and Privacy,Type 1,stable,PASS,,pass,"The descriptor declares the capability as fully demonstrated with 'independently identifies and names' and 'clearly explains', indicating complete mastery of the learning target.",False,No attempt to identify body parts or privacy concepts.,"With support, names some body parts but shows confusion about privacy concepts.",Independently identifies most body parts but inconsistently explains which areas are private.,Independently identifies and names body parts including private areas and clearly explains which parts are private.,Applies body awareness knowledge to explain privacy boundaries in different contexts or situations.,,
cluster_01: Body Awareness and Personal Boundaries,cluster_01_lt_02,Expressing Personal Boundaries,Type 2,stable,PASS,,pass,The descriptor declares the capability as demonstrated independently with 'clearly communicates' showing successful achievement of the learning target.,False,No attempt to communicate personal boundaries.,"With support, attempts to express boundaries but communication is unclear or inconsistent.",Independently communicates some boundaries about physical contact but struggles with privacy needs or clarity.,Clearly communicates personal boundaries about both physical contact and privacy needs in age-appropriate situations.,Adapts boundary communication effectively across different contexts and supports others in expressing their boundaries.,cluster_01_lt_01 [ontological_prerequisite/high] Cannot communicate boundaries about private areas without first identifying which body parts are private.,
cluster_02: Foundational Relationship Skills and Safety,cluster_02_lt_01,Building Safe and Positive Relationships,Type 2,rubric_unstable,PASS,,pass,"The descriptor clearly states the learner 'independently applies' the required skills, demonstrating complete achievement of the learning target without hedging language or positioning it as incomplete.",False,No attempt to demonstrate relationship skills or safety knowledge.,"With support, identifies some relationship skills but applies them inconsistently or inaccurately.",Independently demonstrates basic relationship skills in familiar contexts but struggles with complex situations.,Independently applies foundational relationship skills and safety knowledge to build and maintain positive connections with others.,Transfers relationship skills to unfamiliar contexts and integrates safety knowledge with advanced interpersonal strategies.,cluster_01_lt_02 [ontological_prerequisite/high] Cannot build safe relationships without ability to communicate personal boundaries.; cluster_05_lt_01 [pedagogical_sequencing/high] Understanding healthy friendship characteristics typically precedes applying broader relationship skills.; cluster_06_lt_01 [ontological_prerequisite/high] Assertive communication and boundary setting are fundamental components of building positive relationships.,
cluster_02: Foundational Relationship Skills and Safety,cluster_02_lt_02,Managing Complex Relationship Challenges,Type 2,stable,FAIL,observable_verb,pass,"The descriptor declares the capability as fully demonstrated with 'independently manages' and 'effectively', positioning Competent as complete success without hedging language.",False,No attempt to manage feelings or reflect on behaviors.,"With support, identifies some difficult feelings but struggles to manage them appropriately.",Independently recognises difficult feelings and attempts reflection but responses lack consistency or effectiveness.,Independently manages difficult feelings and reflects on kind behaviors to navigate challenging relationship situations effectively.,Transfers emotional management skills to novel contexts and supports others in challenging situations.,cluster_02_lt_01 [pedagogical_sequencing/high] Basic relationship skills provide foundation for managing complex challenges.; cluster_14_lt_01 [ontological_prerequisite/high] Cannot manage difficult feelings without understanding emotions and mental health concepts.,
cluster_03: Family Diversity and Acceptance,cluster_03_lt_01,Identifying Diverse Family Structures,Type 1,stable,PASS,,pass,"The descriptor declares the capability as demonstrated independently and accurately, standing alone as evidence that the learning target is met.",False,No attempt to identify family structures.,"With support, names some family types but descriptions are incomplete or inaccurate.",Independently identifies several family forms but descriptions lack detail or contain minor gaps.,"Independently identifies and describes various family structures including nuclear, single-parent, blended, extended, adoptive, and same-sex parent families accurately.",Compares family structures across cultures or explains how family diversity strengthens communities.,,
cluster_04: Abuse Recognition and Protection,cluster_04_lt_01,Recognising Abuse and Unsafe Situations,Type 2,rubric_unstable,PASS,,pass,"The descriptor clearly states the learner 'independently identifies' the required capabilities, demonstrating complete achievement of the learning target without hedging language or positioning it as incomplete.",False,No attempt to identify abuse or unsafe situations.,"With support, identifies some obvious forms of abuse but misses subtle indicators.",Independently recognises clear abuse forms but struggles with complex or ambiguous unsafe situations.,Independently identifies different forms of abuse and recognises when situations are unsafe or harmful.,Identifies abuse patterns and unsafe situations across diverse contexts with sophisticated reasoning.,cluster_01_lt_01 [ontological_prerequisite/high] Understanding body parts and privacy is essential for recognising physical and sexual abuse.; cluster_01_lt_02 [pedagogical_sequencing/high] Understanding personal boundaries helps learners recognise when those boundaries are being violated.; cluster_09_lt_01 [ontological_prerequisite/medium] Recognising trust and safety risks provides foundational skills for identifying unsafe situations.,
cluster_05: Friendship Development and Management,cluster_05_lt_02,Developing and Managing Friendship Skills,Type 2,rubric_unstable,PASS,,pass,The descriptor declares the capability as demonstrated independently and can stand alone as evidence that the learning target is met.,False,No attempt to apply friendship strategies.,"With support, attempts some friendship strategies but application is inconsistent or inappropriate.",Independently applies basic friendship strategies but struggles when challenges become complex or unfamiliar.,Independently applies effective strategies to build caring friendships and responds appropriately to friendship challenges.,Transfers friendship strategies to diverse contexts and helps others navigate complex friendship situations.,cluster_05_lt_01 [ontological_prerequisite/high] Cannot apply friendship strategies without understanding what healthy friendships look like.; cluster_02_lt_01 [pedagogical_sequencing/medium] Foundational relationship skills provide the base for more specific friendship management strategies.,
cluster_06: Interpersonal Skills and Boundaries,cluster_06_lt_01,Assertive Communication and Boundary Setting,Type 2,rubric_unstable,FAIL,single_construct,pass,The descriptor declares the capability as fully demonstrated at the learning target's level of demand without hedging language or positioning it as incomplete.,False,No attempt to communicate needs or set boundaries.,"With support, attempts to express needs but struggles with clarity or emotional regulation.",Communicates some needs and boundaries independently but inconsistently manages emotions during challenging interactions.,Communicates assertively to express needs and set appropriate boundaries while effectively managing emotions in interpersonal situations.,Adapts assertive communication strategies flexibly across diverse contexts while supporting others' boundary-setting efforts.,cluster_01_lt_02 [ontological_prerequisite/high] Cannot set boundaries assertively without first understanding how to communicate personal boundaries.; cluster_14_lt_01 [pedagogical_sequencing/medium] Understanding emotions supports effective emotional management during assertive communication.,
cluster_07: Bullying Prevention and Response,cluster_07_lt_01,Understanding Bullying and Stereotypes,Type 1,stable,PASS,,pass,"The descriptor declares the capability as demonstrated independently and accurately, standing alone as evidence that the learning target is met.",False,No attempt to identify bullying types or stereotypes.,"With support, names some bullying types but explanations are incomplete or inaccurate.",Independently identifies basic bullying types and stereotypes but explanations of harmful impacts lack detail.,Independently identifies different types of bullying and stereotypes and explains their harmful impacts accurately and clearly.,Analyses complex bullying scenarios and connects stereotypes to broader patterns of discrimination and harm.,cluster_05_lt_01 [pedagogical_sequencing/medium] Understanding positive friendship characteristics helps distinguish bullying from normal relationship challenges.,
cluster_07: Bullying Prevention and Response,cluster_07_lt_02,Responding to Bullying and Stereotypes,Type 2,stable,PASS,,pass,The descriptor declares the capability as fully demonstrated with 'independently' and 'effectively' without any hedging language or positioning it as incomplete.,False,No attempt to challenge stereotypes or seek help.,"With support, identifies some stereotypes or help-seeking options but responses are incomplete.",Independently recognises stereotypes or identifies help sources but challenges or responses lack effectiveness.,Independently challenges stereotypes effectively and seeks appropriate help when bullying occurs using suitable strategies and channels.,Transfers challenging skills to novel contexts and advocates for others facing bullying situations.,cluster_07_lt_01 [ontological_prerequisite/high] Cannot challenge what you cannot identify or understand.; cluster_06_lt_01 [pedagogical_sequencing/medium] Assertive communication skills support effective challenging of stereotypes.; cluster_09_lt_02 [pedagogical_sequencing/medium] General help-seeking skills provide foundation for bullying-specific responses.,
