competency_cluster,lt_id,lt_name,prerequisites,band,indicator_1,indicator_2,indicator_3,self_reflection_prompt,parent_prompt_1,parent_prompt_2,parent_prompt_3,observation_stability
cluster_01: Physical Health and Well-being,cluster_01_lt_03,Sustaining Healthy and Active Lifestyle Motivation,Understanding Health and Well-being Factors; Demonstrating Physical Movement Competence,A,The student engages in a physical activity when prompted by an adult and continues for a short period before needing encouragement to persist.,"The student expresses willingness to try a new movement or sport after direct invitation, though may hesitate or require reassurance.",The student recalls a physical activity they enjoyed and mentions wanting to do it again when reminded by a peer or adult.,"Name a moment this term when you tried something hard. What happened, and how did it feel?","What physical activities or movement does your child choose to do on their own at home or in the neighbourhood, and how often do they return to these activities?","When your child tries a new sport or physical activity, what do you notice about their confidence and willingness to keep trying if something feels difficult?","How does your child talk about their body and physical abilities—do they mention goals they want to achieve, or activities they want to get better at?",stable
cluster_01: Physical Health and Well-being,cluster_01_lt_03,Sustaining Healthy and Active Lifestyle Motivation,Understanding Health and Well-being Factors; Demonstrating Physical Movement Competence,B,The student initiates participation in familiar physical activities during free time and sustains effort for an extended period without adult prompting.,The student volunteers to join group movement or sports activities and shows visible confidence when attempting movements they have practised before.,The student talks about a physical activity they enjoy and seeks opportunities to repeat it across different days or settings.,"Describe one pattern you have noticed in yourself this term. When does it show up, and when does it not?",,,,stable
cluster_01: Physical Health and Well-being,cluster_01_lt_03,Sustaining Healthy and Active Lifestyle Motivation,Understanding Health and Well-being Factors; Demonstrating Physical Movement Competence,C,The student regularly chooses active pursuits during unstructured time and maintains engagement even when facing minor difficulty or fatigue.,The student attempts unfamiliar physical activities with visible confidence and adapts their approach when an initial attempt does not succeed.,"The student discusses their own physical goals or preferences and makes independent choices about which activities to pursue across home, school, and community contexts.","Compare what you have noticed in yourself with what your teacher has observed. Where do the two accounts agree, and where do they differ?",,,,stable
cluster_01: Physical Health and Well-being,cluster_01_lt_03,Sustaining Healthy and Active Lifestyle Motivation,Understanding Health and Well-being Factors; Demonstrating Physical Movement Competence,D,"The student sustains participation in physical activities across varied contexts and over extended periods, seeking new challenges and adjusting intensity or type based on personal interest and circumstance.","The student demonstrates self-directed motivation to maintain or improve physical capability, pursuing activities independently and encouraging peers to join without adult direction.","The student articulates reasons for valuing physical activity and makes deliberate choices to incorporate movement into daily routines across home, school, and community, even when competing demands exist.","Analyse a pattern you see in yourself across two or more different contexts. What has shifted, and what do you think caused the shift?",,,,stable
cluster_02: Self-Care and Respect for Self and Others,cluster_02_lt_01,Caring for Self and Others,,A,The student accepts reminders to wash hands or manage personal hygiene and follows through with adult support.,The student responds positively when an adult points out that someone else is upset and accepts a suggestion to offer help.,The student uses basic courtesies like please and thank you when prompted by an adult in familiar routines.,"Name a moment this term when you tried something hard. What happened, and how did it feel?","What have you noticed about how your child manages their own personal care at home—such as remembering to wash hands, brush teeth, or keep their space tidy—and whether they do these things without being reminded?","When your child sees a family member or friend who is sad, hurt, or struggling, what do they do or say? Can you give an example of a time they showed care or concern?","How does your child treat family members and others in your home when things are going well, and how do they behave when they are frustrated or disagree with someone?",stable
cluster_02: Self-Care and Respect for Self and Others,cluster_02_lt_01,Caring for Self and Others,,B,"The student initiates personal care routines like using the bathroom, washing hands, or tidying their own space without being asked.","The student notices when a peer is struggling or hurt and offers help or tells an adult, showing awareness of others' needs.",The student greets familiar people and uses respectful language consistently in structured settings like classroom or home.,"Describe one pattern you have noticed in yourself this term. When does it show up, and when does it not?",,,,stable
cluster_02: Self-Care and Respect for Self and Others,cluster_02_lt_01,Caring for Self and Others,,C,The student maintains personal hygiene and organisation across different settings and adjusts care routines based on context without prompting.,"The student actively checks in with peers or family members who seem upset, listens to their concerns, and offers practical support.","The student demonstrates respect through attentive listening, acknowledging others' ideas, and adjusting their tone and language based on who they are with.","Compare what you have noticed in yourself with what your teacher has observed. Where do the two accounts agree, and where do they differ?",,,,stable
cluster_02: Self-Care and Respect for Self and Others,cluster_02_lt_01,Caring for Self and Others,,D,"The student models self-care as a natural habit across unfamiliar and varied contexts, and encourages or supports others to do the same.","The student anticipates others' needs before being asked, responds with empathy to distress or conflict, and takes initiative to repair relationships or support peers.","The student demonstrates sustained respect and care in challenging or emotionally charged situations, maintaining composure and treating others with dignity even when frustrated or disagreeing.","Analyse a pattern you see in yourself across two or more different contexts. What has shifted, and what do you think caused the shift?",,,,stable
cluster_03: Emotional Awareness and Regulation,cluster_03_lt_02,Recognising Emotions as Fluid and Changeable,Connecting Experiences to Emotional Well-being,A,The student names a different emotion they felt at different times during the same day when prompted by an adult.,"The student acknowledges that their mood changed after a specific event or activity, with adult support.",The student notices aloud that they felt one way before an activity and another way after it.,"Name a moment this term when you tried something hard. What happened, and how did it feel?",What have you noticed about how your child's mood or feelings shift throughout the day or across different activities at home?,"When your child experiences disappointment or frustration, have you observed them mention or show signs that they felt differently about something at another time?",How does your child respond when you remind them that feelings can change? Do they seem to accept or resist the idea that they might feel differently about something later?,stable
cluster_03: Emotional Awareness and Regulation,cluster_03_lt_02,Recognising Emotions as Fluid and Changeable,Connecting Experiences to Emotional Well-being,B,The student spontaneously describes how their emotional state shifted across different settings or times without prompting.,The student explains that the same situation triggered different feelings on different occasions.,The student recognises that a peer or family member might feel differently about the same event than they do.,"Describe one pattern you have noticed in yourself this term. When does it show up, and when does it not?",,,,stable
